"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"State"	"MaxFC"
"CBLB"	"CBLB"	0.419652000906251	-0.229767583351433	-0.0422067513577878	0.0918262399230278	-0.144574642175489	0.0549021154389364	"IS01"	0.419652000906251
"HSP90AA1"	"HSP90AA1"	0.418142745373426	0.138618144699779	0.304609758100178	0.202789448121639	-0.218880865525601	-0.389857676937686	"IS01"	0.418142745373426
"CCND2"	"CCND2"	0.414416342441624	-0.10259553083021	-0.157602255599448	0.358822554293316	-0.0139101437461252	-0.217747679193315	"IS01"	0.414416342441624
"HSPA8"	"HSPA8"	0.411424330550494	0.240961987600555	0.0318685182070745	0.302332472473804	-0.0730459703913626	-0.493246523857234	"IS01"	0.411424330550494
"ETV1"	"ETV1"	0.408568627507364	-0.300055648701601	-0.0470766405919276	0.240089830093347	-0.125758744606797	0.0253037745187967	"IS01"	0.408568627507364
"IKZF4"	"IKZF4"	0.406477441636856	-0.197449843358491	0.00339243956340306	0.0655226239656586	-0.0213705767994963	-0.0620982313152103	"IS01"	0.406477441636856
"KLRD1"	"KLRD1"	0.405904881605596	-0.226778128854585	0.244991413120633	-0.244392477146152	-0.143831050657798	0.0955282111475574	"IS01"	0.405904881605596
"GALNT2"	"GALNT2"	0.384850022138542	-0.399718857485306	0.0759145154963577	0.16479420815443	-0.0552951681140384	0.0403580652433316	"IS01"	0.384850022138542
"TOX"	"TOX"	0.383636220246411	-0.314445435852097	0.199602175106162	0.251503560797135	-0.153451815322494	-0.0546340252529838	"IS01"	0.383636220246411
"JAML"	"JAML"	0.378762069128753	-0.517579615067712	-0.15077463427593	0.191657590277183	0.264408675890204	-0.00932250245806205	"IS01"	0.378762069128753
"SRGAP3"	"SRGAP3"	0.376606308741303	-0.296573183849231	0.0912938093298805	0.0232196254745488	-0.20760221081956	0.144080250602494	"IS01"	0.376606308741303
"GTF3C1"	"GTF3C1"	0.365063567564341	-0.132601217745035	0.0587374631174877	0.22820060480105	-0.0777387570315981	-0.160174892697398	"IS01"	0.365063567564341
"CD82"	"CD82"	0.359841920701742	-0.422992686018533	0.145338596930608	0.237068332437309	-0.238509573578489	0.134428506498004	"IS01"	0.359841920701742
"DOK2"	"DOK2"	0.349056773662093	-0.174868534623908	-0.111309956085247	0.0240478825588181	0.0838428041064431	-0.0537340549813283	"IS01"	0.349056773662093
"CTLA4"	"CTLA4"	0.335656359777118	-0.511513617407742	0.113071301678572	0.0970255598620754	-0.126371396028827	0.217653077914893	"IS01"	0.335656359777118
"POLR1E"	"POLR1E"	0.308034384777983	-0.145214832468233	0.143808574800711	0.299011896088855	-0.157895452150148	-0.141604391800329	"IS01"	0.308034384777983
"TTC24"	"TTC24"	0.304618022049964	-0.140024023700429	-0.0625512560665343	0.196872215506021	-0.319947483463115	0.125959103770514	"IS01"	0.304618022049964
"DUSP10"	"DUSP10"	0.293821739435957	-0.0351058477312772	-0.0945864695617848	0.14150239206181	0.281310053492481	-0.347146202964825	"IS01"	0.293821739435957
"TNFSF4"	"TNFSF4"	0.292962004573471	-0.356016689551513	0.142864873919789	-0.061527443676147	0.074135941501173	0.0402244387322565	"IS01"	0.292962004573471
