"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"
"RPL13__pos"	2.22044604925031e-16	149.94736517672	0.221598324165228	2.57071414172453e-10	4.00355141429757	29.6404088071313
"CXCR6__pos"	129.063282694018	2.22044604925031e-16	0.0155844843502897	76.2868814923301	34.1582431451731	30.557885326395
"IL7R__pos"	2.22044604925031e-16	158.782543393019	2.22044604925031e-16	51.4655683606914	2.22044604925031e-16	15.7820757484509
"CCL3__pos"	108.783068581253	2.22044604925031e-16	48.6381531676953	6.75345850825756e-16	24.8516590599446	71.3177246140044
"ZWINT__pos"	2.22044604925031e-16	2.22044604925031e-16	243.256976416945	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16
"PMF1__pos"	2.22044604925031e-16	2.22044604925031e-16	10.2626249296113	2.22044604925031e-16	181.285943282942	2.22044604925031e-16
"RPL18A__pos"	2.22044604925031e-16	108.604099384666	3.05448292915532e-05	3.35805950336969	3.29773837442266	62.1420406413016
"HLA-A__pos"	15.5414260300772	7.2183859441976	2.22044604925031e-16	121.957171361033	67.2445233293259	2.22044604925031e-16
"ZNF331__pos"	31.6309802885038	68.2684055562858	2.31250012078618	112.240035734103	58.1317059481168	2.22044604925031e-16
"GZMB__pos"	93.0537758944587	2.22044604925031e-16	25.2905986328909	16.2162986557389	56.6400360476062	44.6963512038661
"TOP2A__pos"	2.22044604925031e-16	2.22044604925031e-16	232.722885346716	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16
"RPL13A__pos"	2.22044604925031e-16	40.505320570132	2.22044604925031e-16	64.3892573196487	127.552502723235	2.22044604925031e-16
"RPS3__pos"	2.22044604925031e-16	127.558236677519	3.94429555576691	2.22044604925031e-16	0.569028630045486	42.3689141545816
"LRRN3__pos"	123.342250036527	2.22044604925031e-16	12.6063505753325	34.5322287971074	2.22044604925031e-16	2.22044604925031e-16
"TUBA4A__pos"	28.72214382803	98.9684702440442	27.1509654121914	67.6369542415412	27.374677260825	15.0614473253335
"RPS26__pos"	10.1663989996347	29.7317896655569	8.4525256367798	3.26632154920195	2.22876370959623	114.680857381878
"NUSAP1__pos"	16.1106220178055	2.22044604925031e-16	222.936023159019	7.07451080032274	11.5073332330596	2.22044604925031e-16
"TMSB4X__pos"	2.22044604925031e-16	2.22044604925031e-16	8.77034393221538	1.26295051878207	133.769626637968	51.5653184157367
"RPS18__pos"	2.22044604925031e-16	88.8127051233647	4.82158960069146	2.22044604925031e-16	30.6856034485822	55.6206481052605
"HLA-B__pos"	58.1493535529999	21.5067208646259	0.0528604469706024	103.743289795606	44.1490515590508	1.14110405129697e-14
"PIK3R1__pos"	9.40522812488535	111.258090646612	13.0101978929408	88.5592005172307	18.0871022139283	12.1783538302544
"LCP2__pos"	57.136318146512	11.4567164433454	18.2039022554009	39.9773983533484	2.7565141200071	125.446281834335
"CDKN3__pos"	2.22044604925031e-16	2.22044604925031e-16	241.241759584983	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16
