"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"State"	"MaxFC"	"InitialState"
"SKA2"	"SKA2"	-0.233118726540226	-0.408652953108807	1.05485204956689	-0.230859078941145	-0.113826132008402	0.120874350805509	"S01"	1.05485204956689	"IS03"
"ANP32E"	"ANP32E"	0.109492796875026	-0.206291540386447	1.05473085673112	-0.0310611869179853	-0.222657558886795	-0.216388268911564	"S01"	1.05473085673112	"IS03"
"CARHSP1"	"CARHSP1"	-0.222431803927055	-0.334589738029776	1.02124599686377	-0.0664495187240537	0.0835851600514103	-0.154241385219263	"S01"	1.02124599686377	"IS03"
"KIF20B"	"KIF20B"	-0.0101397279386741	-0.26167358602072	1.00134364190252	0.0724122792655803	-0.156232118532879	-0.195008237015824	"S01"	1.00134364190252	"IS03"
"PTTG1"	"PTTG1"	-0.0625954313007174	-0.525213050177042	1.00000943964467	-0.122651347369149	-0.117206210768892	0.10130775842729	"S01"	1.00000943964467	"IS03"
"RANBP1"	"RANBP1"	-0.105087650490645	-0.466350938224419	0.997575015316895	-0.264805285711476	0.137897387563053	-0.0365365383396279	"S01"	0.997575015316895	"IS03"
"MCM3"	"MCM3"	-0.0786830515146346	-0.285385823606233	0.986603660038178	-0.0609092237306314	-0.0224130509242977	-0.167587342599367	"S01"	0.986603660038178	"IS03"
"TACC3"	"TACC3"	-0.143677578592228	-0.113146384377595	0.975897951353243	-0.0420085700485543	-0.150436520655835	-0.177511311077706	"S01"	0.975897951353243	"IS03"
"LMNB1"	"LMNB1"	-0.0381370596709486	-0.249676672879988	0.949275822686436	0.206036211578963	-0.0932429670267729	-0.281390751148838	"S01"	0.949275822686436	"IS03"
"BUB1"	"BUB1"	-0.023504546918393	-0.223554720470884	0.910305687438116	-0.0776029242946843	-0.146081037157311	-0.104475171403727	"S01"	0.910305687438116	"IS03"
"DNMT1"	"DNMT1"	-0.0691862881315783	-0.0559217520933577	0.910028533413784	0.0143091309067819	-0.329219617803378	-0.122021971094588	"S01"	0.910028533413784	"IS03"
"ACTB"	"ACTB"	-0.32643185779077	-0.953796873524304	0.908750743954029	-0.104790019682419	-0.227823693552825	0.665149630069955	"S01"	0.908750743954029	"IS03"
"CDCA4"	"CDCA4"	-0.133439676511287	-0.185067417075937	0.893651419871783	-0.083751291692763	-0.0912345666309363	-0.111026555027673	"S01"	0.893651419871783	"IS03"
"COX8A"	"COX8A"	-0.231135573579581	-0.453690338710051	0.88296427721003	0.0119900020345707	-0.175589197976378	0.155881298646537	"S01"	0.88296427721003	"IS03"
"CALM3"	"CALM3"	-0.311592302335287	-0.51966361242985	0.876607565077263	-0.012017908796057	0.0681822590582704	0.0796015268838964	"S01"	0.876607565077263	"IS03"
"GAPDH"	"GAPDH"	0.379771664431051	-0.915554571805913	0.85996273368114	0.0260335882696623	-0.0956404010954921	0.161670050897218	"S01"	0.85996273368114	"IS03"
"CDC25B"	"CDC25B"	-0.291380331205834	-0.0482430118212957	0.852526717490178	-0.00515449679824582	-0.160212095244606	-0.110152960000126	"S01"	0.852526717490178	"IS03"
"CDCA7"	"CDCA7"	-0.16542170723441	-0.336913426575892	0.840469217949939	-0.182814912527211	-0.225702493821064	0.194090472353019	"S01"	0.840469217949939	"IS03"
"RAN"	"RAN"	0.096610879378252	-0.197312986687321	0.787744490413316	0.129311132288542	-0.160255678219372	-0.218967145869326	"S01"	0.787744490413316	"IS03"
"SNRPD1"	"SNRPD1"	-0.0229089082058743	-0.339015916936908	0.782438138870353	-0.0162099977723018	0.0431670779046025	-0.127774094577953	"S01"	0.782438138870353	"IS03"
"PFN1"	"PFN1"	-0.390925762429179	-0.765454322528657	0.779345971711693	-0.0862175146978337	0.147853929262213	0.328500768260995	"S01"	0.779345971711693	"IS03"
"RAD21"	"RAD21"	0.115019748377627	-0.145944361867216	0.762630852170261	0.213995507589465	-0.387745488465512	-0.130709638877423	"S01"	0.762630852170261	"IS03"
"WDR76"	"WDR76"	-0.0667552456444597	-0.190991265762148	0.727443545088032	-0.119428711068741	-0.0654591070787415	-0.0597023575705763	"S01"	0.727443545088032	"IS03"
"C12orf75"	"C12orf75"	-0.393793347980252	-0.529608324586913	0.718972919437435	-0.137429270358901	0.168496255255151	0.191467146964016	"S01"	0.718972919437435	"IS03"
"RALY"	"RALY"	-0.164886449853551	-0.377247900090442	0.709072493916385	-0.0157899829492378	-0.0875314534612839	0.0988905006698796	"S01"	0.709072493916385	"IS03"
"DCXR"	"DCXR"	0.233862105963086	-0.0935021950778903	0.704250444805514	0.0924922327400251	-0.310085159646076	-0.193234605932427	"S01"	0.704250444805514	"IS03"
"SNRPB"	"SNRPB"	-0.0745976384262658	-0.380975427097225	0.700497465277993	0.0301391959558432	0.333220033638342	-0.27022217657177	"S01"	0.700497465277993	"IS03"
"IDH2"	"IDH2"	-0.311955229851653	-0.498160826518513	0.699116953321777	-0.146708589958753	0.0627310155595776	0.221181084545031	"S01"	0.699116953321777	"IS03"
"SNRPG"	"SNRPG"	-0.175530795312873	-0.284011109400095	0.686911165052201	-0.147743338780521	0.115857723018815	-0.0377708231434019	"S01"	0.686911165052201	"IS03"
"HMGN1"	"HMGN1"	-0.157794333963688	-0.474299103708102	0.681601816231461	-0.0813114286429608	-0.0459713994957715	0.185094239914428	"S01"	0.681601816231461	"IS03"
"BUB3"	"BUB3"	0.0298102219328987	-0.422899070277296	0.681317412440502	0.08720686872103	-0.0831898081046828	-0.00151721807094957	"S01"	0.681317412440502	"IS03"
"LSM2"	"LSM2"	-0.131295562452704	-0.383804022625688	0.673036888582066	-0.153286981202429	-0.36873179294681	0.382980578702509	"S01"	0.673036888582066	"IS03"
"PA2G4"	"PA2G4"	0.0103129443113734	-0.203732379960099	0.663156639988001	0.00668568690692839	-0.0968739725132203	-0.0977641033018069	"S01"	0.663156639988001	"IS03"
"KPNA2"	"KPNA2"	0.108714245055136	-0.00247038685481319	0.650483938996871	0.271524735113188	0.0702929977972679	-0.549788432355663	"S01"	0.650483938996871	"IS03"
"SLBP"	"SLBP"	0.0733083490023617	-0.054764727704207	0.642565640987781	0.109906730872611	-0.040554842640614	-0.324926308416152	"S01"	0.642565640987781	"IS03"
"CFL1"	"CFL1"	-0.401473691961376	-0.676287602549018	0.641780503505456	0.00550219361167323	0.337721519786672	0.144335311960953	"S01"	0.641780503505456	"IS03"
"VRK1"	"VRK1"	-0.108533540631443	-0.161357942335517	0.641418232776321	-0.0247429023428007	-0.00639769036034086	-0.113841486412576	"S01"	0.641418232776321	"IS03"
"SRP9"	"SRP9"	-0.160581607519925	-0.388346632420633	0.640133409549507	-0.162955292012219	-0.103104847192041	0.225267454256853	"S01"	0.640133409549507	"IS03"
"DCTN3"	"DCTN3"	-0.259931171051327	-0.257785427383392	0.632962904978302	-0.0295617050292569	-0.129053692656311	0.127216190263149	"S01"	0.632962904978302	"IS03"
"MT2A"	"MT2A"	-0.218144057086477	-0.723357704156733	0.631964586035408	-0.0714332424610896	0.162281469880971	0.266921413227158	"S01"	0.631964586035408	"IS03"
