"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"State"	"MaxFC"	"InitialState"
"ART4"	"ART4"	-0.194602079089893	-0.22304777678077	1.4021887748288	-0.202066186108107	-0.164828703694916	-0.147718236548711	"S01"	1.4021887748288	"IS03"
"TSPAN5"	"TSPAN5"	-0.235271788835432	-0.118324850469768	1.37534799097089	-0.0309433828007303	-0.255327966526597	-0.332969943568744	"S01"	1.37534799097089	"IS03"
"ABCA4"	"ABCA4"	-0.190210190817488	-0.183650272885992	1.37397766663356	-0.187596083500036	-0.1770791726895	-0.190546734840792	"S01"	1.37397766663356	"IS03"
"RADIL"	"RADIL"	-0.179152426044352	-0.19767591025441	1.3632350815013	-0.190383115033255	-0.180555078121508	-0.170435134474188	"S01"	1.3632350815013	"IS03"
"FLT4"	"FLT4"	-0.41246860681757	0.345980714244408	1.35759366396725	-0.240063489051678	-0.4347460162878	-0.341697261964117	"S01"	1.35759366396725	"IS03"
"STAB2"	"STAB2"	-0.184107436624901	-0.192600790745442	1.32791078130547	-0.180719248962804	-0.158279943965909	-0.175444102289506	"S01"	1.32791078130547	"IS03"
"LYVE1"	"LYVE1"	-0.288047843029438	-0.191512574037812	1.3198082211391	0.242622378546542	-0.332376515161757	-0.368017375411314	"S01"	1.3198082211391	"IS03"
"TMEM100"	"TMEM100"	-0.145870912996716	-0.151669253205489	1.31577536642736	-0.245824388902606	-0.10852968651091	-0.238648840560204	"S01"	1.31577536642736	"IS03"
"FAM162B"	"FAM162B"	-0.20162284181644	-0.181884449273024	1.30280141323457	-0.178522897431376	-0.123152646197067	-0.183784795447957	"S01"	1.30280141323457	"IS03"
"LAYN"	"LAYN"	-0.255001657989496	-0.0912365499108406	1.28159781235584	-0.210777688214276	-0.288221087260156	-0.0434207688562269	"S01"	1.28159781235584	"IS03"
"PPFIBP1"	"PPFIBP1"	-0.261052283609685	0.0102808872870075	1.27120377413769	-0.0155160943331351	-0.54535587341821	-0.157052147879961	"S01"	1.27120377413769	"IS03"
"KBTBD11"	"KBTBD11"	-0.203998335679049	-0.150483352882735	1.26629232598178	-0.165669126174612	-0.147617395814916	-0.188684859783609	"S01"	1.26629232598178	"IS03"
"DMTN"	"DMTN"	-0.130556245074962	-0.119149699236586	1.2586518051351	-0.189109105318537	-0.239108315949223	-0.205638679199455	"S01"	1.2586518051351	"IS03"
"FN1"	"FN1"	-0.245875388445101	0.321889637736431	1.23848254612133	-0.172128594668862	-0.27496833013495	-0.63775575400589	"S01"	1.23848254612133	"IS03"
"GDF10"	"GDF10"	-0.161090004437032	-0.185150846102755	1.23459159785057	-0.15841632385443	-0.169601507394674	-0.157776682830375	"S01"	1.23459159785057	"IS03"
"SLC24A1"	"SLC24A1"	-0.0759727026676848	-0.253714330679475	1.23340269812188	-0.0567341515993732	-0.281535224100746	-0.180802492534939	"S01"	1.23340269812188	"IS03"
"FAM174B"	"FAM174B"	-0.26656520212816	0.0574514862199766	1.23275863836814	-0.108539277242454	-0.294051707118209	-0.304438431342247	"S01"	1.23275863836814	"IS03"
"SCN3A"	"SCN3A"	-0.175194465805396	-0.183276641437855	1.22999936938663	-0.171970306377666	-0.122122578687529	-0.16695053900479	"S01"	1.22999936938663	"IS03"
"WFS1"	"WFS1"	-0.227180172523683	-0.089914745636623	1.18893896267189	-0.10985916997773	-0.239495546929058	-0.165740056893983	"S01"	1.18893896267189	"IS03"
"FABP5"	"FABP5"	-0.214921319976548	-0.764852601777802	1.14060141012841	0.0572620040523103	-0.012810191089767	0.381729660614217	"S01"	1.14060141012841	"IS03"
"FLNC"	"FLNC"	0.0670067614219448	-0.224339174705371	1.12771762664414	-0.206210416333171	-0.177809729323943	-0.236373900046642	"S01"	1.12771762664414	"IS03"
"CD163L1"	"CD163L1"	-0.199475314400843	-0.154514580809453	1.12484600315891	-0.121874421183571	-0.182428584600204	-0.10022753987788	"S01"	1.12484600315891	"IS03"
