"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"State"	"MaxFC"	"InitialState"
"RHOBTB3"	"RHOBTB3"	0.00815236129635333	-0.107065510088191	-0.48387037106776	0.583413416773454	-0.186136103457062	-0.11984572588293	"S01"	0.583413416773454	"IS04"
"TSEN54"	"TSEN54"	0.0914918596377735	-0.470031746149933	-0.655328082731126	0.576666177671285	-0.045587505297268	-0.0653774878133603	"S01"	0.576666177671285	"IS04"
"C1orf162"	"C1orf162"	-0.203406031846985	-0.0336141573764917	-0.845734554275638	0.576445836439559	-0.268066587770739	0.386786376298463	"S01"	0.576445836439559	"IS04"
"RNF130"	"RNF130"	0.317971039047148	-0.108439235391184	-0.995422074070484	0.575365018556493	-0.0064811855496723	-0.301955118383214	"S01"	0.575365018556493	"IS04"
"RAB37"	"RAB37"	0.151241957348878	-0.218541103970641	-0.583437070308663	0.573701097658827	-0.110665255533497	-0.216680258198894	"S01"	0.573701097658827	"IS04"
"SLC26A2"	"SLC26A2"	0.163100503827682	-0.223678501041348	-0.675234047171358	0.564394707585841	-0.248015194892827	0.01528373118076	"S01"	0.564394707585841	"IS04"
"ADORA3"	"ADORA3"	-0.242835197404107	-0.10511597794899	-0.247672549443811	0.560777156406524	-0.290759913071278	0.126138826511314	"S01"	0.560777156406524	"IS04"
"PARP4"	"PARP4"	0.225445248588639	-0.0419214823586048	-0.420664045617143	0.560485216542318	-0.237183989823493	-0.312009953373798	"S01"	0.560485216542318	"IS04"
"ALOX5"	"ALOX5"	0.344441140372281	-0.214725019208832	-1.2955319997717	0.551181060417389	0.299973099877915	-0.430122981547734	"S01"	0.551181060417389	"IS04"
"SLC38A11"	"SLC38A11"	-0.0356893039436506	-0.231790074710087	-0.23713320486257	0.543354568973058	-0.18350415058759	-0.124862969510745	"S01"	0.543354568973058	"IS04"
"CNRIP1"	"CNRIP1"	0.0174385617427014	-0.333173884081642	-1.08822986753484	0.539925157701869	0.0811457287632992	0.098603190345137	"S01"	0.539925157701869	"IS04"
"ATP8B4"	"ATP8B4"	-0.189309267735204	-0.0258202277689433	-0.354735613055796	0.537899848618517	-0.0769405372322021	-0.135925145175772	"S01"	0.537899848618517	"IS04"
"PIK3R6"	"PIK3R6"	0.120241216455618	-0.164458283175481	-0.500575433375229	0.535952863354555	-0.0628392770409974	-0.281921336929136	"S01"	0.535952863354555	"IS04"
"MAP3K1"	"MAP3K1"	-0.0559261274375094	0.0478388652885113	-0.340138191573449	0.5289116118667	-0.0890412301984695	-0.286137725948779	"S01"	0.5289116118667	"IS04"
"SH3BGRL3"	"SH3BGRL3"	0.173419309744436	0.156029373231379	-1.75856532590995	0.524911398029993	0.284519883225624	-0.112942998806799	"S01"	0.524911398029993	"IS04"
"TDRD3"	"TDRD3"	0.0379151284235941	-0.244252069569049	-0.282027823024564	0.524460340754388	-0.181695666358982	-0.13947801721085	"S01"	0.524460340754388	"IS04"
"ANKRD27"	"ANKRD27"	0.0802582999591448	-0.274400471518543	-0.293320226629601	0.521658750989157	-0.18917339181478	-0.14435676021226	"S01"	0.521658750989157	"IS04"
"LIF"	"LIF"	0.333356964128225	-0.179570500925057	-0.547080927898516	0.518479598464862	-0.385733870294776	-0.0267416043324292	"S01"	0.518479598464862	"IS04"
"ABCC4"	"ABCC4"	0.261080279249873	-0.200445519999055	-0.649632346968371	0.516245871549676	0.0137136906751588	-0.373755668516326	"S01"	0.516245871549676	"IS04"
"ITGA4"	"ITGA4"	0.14182584957089	-0.0469548627621162	-0.420404869190267	0.514130884210665	-0.0264607198861115	-0.434437199020348	"S01"	0.514130884210665	"IS04"
"BTK"	"BTK"	0.359718829023952	-0.315405165198839	-1.15640596629381	0.512525631883544	-0.0391900906686766	-0.0130093304119999	"S01"	0.512525631883544	"IS04"
"MCTP2"	"MCTP2"	0.0545938981089252	-0.0939259251556966	-0.355055224426524	0.511295935725901	-0.190899838071499	-0.160295672971003	"S01"	0.511295935725901	"IS04"
"CKAP5"	"CKAP5"	-0.0845850557073356	0.0319418801601276	-0.178867547951504	0.510976755539773	-0.0222915257276792	-0.414673049049938	"S01"	0.510976755539773	"IS04"
