"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"State"	"MaxFC"
"STAT3"	"STAT3"	0.533381151821546	-0.029294541191399	-0.494805117446678	0.0318733912891346	0.35822308426351	-0.663038683195803	"IS01"	0.533381151821546
"FCER1A"	"FCER1A"	0.533127008787036	-0.150486753157704	-0.839024194751084	-0.367640975344223	0.282542238933649	0.201363431238584	"IS01"	0.533127008787036
"IFITM10"	"IFITM10"	0.53133638713382	-0.134581803501263	-0.306045587047862	-0.0811240174727492	-0.167046343429027	0.0627432798569471	"IS01"	0.53133638713382
"GALC"	"GALC"	0.52918066467587	-0.534597680323132	-0.92014090233948	0.184715255043085	-0.0476649877009406	0.197271481845801	"IS01"	0.52918066467587
"AHR"	"AHR"	0.528647756671416	-0.330358681851949	-0.706366909615051	-0.0383144968642429	0.405021004709165	-0.33732021816446	"IS01"	0.528647756671416
"RBM8A"	"RBM8A"	0.527346764970269	0.129150789001778	-0.428891680808609	-0.463607255621188	0.34438747141764	-0.163062772614905	"IS01"	0.527346764970269
"TNFRSF12A"	"TNFRSF12A"	0.524578906934811	-0.232495886992895	-0.296285249521657	-0.580451894114223	0.39927468055848	0.0187274439554334	"IS01"	0.524578906934811
"EIF1"	"EIF1"	0.521166701342548	-0.41171923912336	0.370952605471683	-0.864207764625651	0.27703187500841	0.185400031332942	"IS01"	0.521166701342548
"ADGRE2"	"ADGRE2"	0.513069467859023	-0.219778286824623	-0.649654490723158	0.197997116912508	-0.0166450931935153	-0.180823478097301	"IS01"	0.513069467859023
"AURKA"	"AURKA"	0.511057276984976	-0.170014424735001	-0.460339708278911	-0.334871445645435	-0.0222402260745841	0.328582165793653	"IS01"	0.511057276984976
"PDE3A"	"PDE3A"	0.509565620615581	0.0414268464649544	-0.28455810655819	0.0586539621607356	-0.179228334338911	-0.17753980360625	"IS01"	0.509565620615581
"NTRK1"	"NTRK1"	0.506556224542374	-0.476026928663489	-0.841276383176112	0.283213751634983	0.228422736907223	-0.32484807407837	"IS01"	0.506556224542374
"BZW1"	"BZW1"	0.50611146622066	-0.433396901808473	-0.24324726590977	-0.666272672512185	0.345080181432703	0.279744411662293	"IS01"	0.50611146622066
