"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"State"	"MaxFC"	"InitialState"
"ADAM19"	"ADAM19"	-0.356817882629009	-0.276051014566404	-0.154392677596576	0.795238346199095	"S01"	0.795238346199095	"IS04"
"GDI2"	"GDI2"	-0.00171355317047449	-0.399662030204184	-0.397013286219108	0.7786434189284	"S01"	0.7786434189284	"IS04"
"CD74"	"CD74"	0.344711597025904	-0.776924572682075	-0.39705559580133	0.778279822294428	"S01"	0.778279822294428	"IS04"
"HLA-DPA1"	"HLA-DPA1"	0.323331852234224	-0.704005923986567	-0.445287410825761	0.7776699253821	"S01"	0.7776699253821	"IS04"
"HLA-DQB1"	"HLA-DQB1"	0.176028249077021	-0.843238900095337	-0.145687924638443	0.773395401506643	"S01"	0.773395401506643	"IS04"
"SERPINB1"	"SERPINB1"	-0.284324598656535	-0.578288030164536	0.0898091103737543	0.771255935842165	"S01"	0.771255935842165	"IS04"
"CLEC9A"	"CLEC9A"	-0.267215645292287	-0.227030806375507	-0.270162037842067	0.767039455779615	"S01"	0.767039455779615	"IS04"
"FLT3"	"FLT3"	-0.287133351772692	-0.218676891614888	-0.250093524699481	0.760247918713881	"S01"	0.760247918713881	"IS04"
"PARM1"	"PARM1"	-0.282318043748517	-0.27194745527247	-0.188263509683555	0.745958238105399	"S01"	0.745958238105399	"IS04"
"SPINT2"	"SPINT2"	0.211211572269313	-0.713446638225474	-0.262795731670303	0.725762806080942	"S01"	0.725762806080942	"IS04"
"CFP"	"CFP"	-0.410376401489677	-0.231613035660369	-0.0698840039964456	0.725699230661284	"S01"	0.725699230661284	"IS04"
"PLD4"	"PLD4"	-0.167223036586627	-0.412839007308534	-0.146182621091163	0.719521678663799	"S01"	0.719521678663799	"IS04"
"SERPINF2"	"SERPINF2"	-0.17668885337345	-0.259789603349338	-0.286354213632757	0.719149454757902	"S01"	0.719149454757902	"IS04"
"CCND3"	"CCND3"	-0.126826012369227	-0.243548371598099	-0.349714246729243	0.713091617956801	"S01"	0.713091617956801	"IS04"
"CPVL"	"CPVL"	0.0260965076741524	-0.693720112868672	-0.054998103517323	0.697770610641762	"S01"	0.697770610641762	"IS04"
"S100B"	"S100B"	-0.0463711187456425	-0.421350709410775	-0.240315984910878	0.692765789209521	"S01"	0.692765789209521	"IS04"
"TLR10"	"TLR10"	-0.204705443376379	-0.229877212417118	-0.239240027697281	0.673465491127971	"S01"	0.673465491127971	"IS04"
"SERPINB9"	"SERPINB9"	-0.642466629328181	-0.509809219163085	0.509667978427027	0.670244063359065	"S01"	0.670244063359065	"IS04"
"PFN1"	"PFN1"	-0.125257321614639	-0.156818841017067	-0.391936770279331	0.669004295384364	"S01"	0.669004295384364	"IS04"
"DAPP1"	"DAPP1"	-0.200653898292783	-0.257183727509746	-0.208401762336151	0.665311378277713	"S01"	0.665311378277713	"IS04"
"SUSD3"	"SUSD3"	-0.107682440055853	-0.222264161774489	-0.336783351507178	0.65959535869726	"S01"	0.65959535869726	"IS04"
"SNX20"	"SNX20"	-0.104843895659768	-0.236315206112237	-0.325344296051592	0.65895671234223	"S01"	0.65895671234223	"IS04"
"CD207"	"CD207"	-0.243996851101217	-0.194021072392473	-0.2166335739261	0.658006174562478	"S01"	0.658006174562478	"IS04"
"HLA-DQA1"	"HLA-DQA1"	0.229117175857454	-0.830337050699938	-0.0931511267751035	0.653282637184497	"S01"	0.653282637184497	"IS04"
"HLA-DRA"	"HLA-DRA"	0.241713089489629	-0.829967299625761	-0.094644153295102	0.64110420680952	"S01"	0.64110420680952	"IS04"
"HMGA1"	"HMGA1"	-0.290979436040318	-0.320870816740729	-0.022535554905706	0.639586491700689	"S01"	0.639586491700689	"IS04"
"HLA-DRB5"	"HLA-DRB5"	0.283951310432988	-0.78270286224904	-0.183875565267676	0.638492881274355	"S01"	0.638492881274355	"IS04"
"ATG3"	"ATG3"	0.013385318693826	-0.453760159975961	-0.203956316453907	0.625359486431578	"S01"	0.625359486431578	"IS04"
"GPR157"	"GPR157"	-0.342512064316013	-0.362756917189228	0.0957550078102752	0.618244327569612	"S01"	0.618244327569612	"IS04"
"PLEK2"	"PLEK2"	-0.109364696481969	-0.278276091345323	-0.234702096750013	0.615260919314085	"S01"	0.615260919314085	"IS04"
"CYP2S1"	"CYP2S1"	-0.166899577747641	-0.440801448354867	-0.00987894506360391	0.612302349138533	"S01"	0.612302349138533	"IS04"
"ACTR3"	"ACTR3"	-0.0968308188969666	-0.461092326281691	-0.0650995105723793	0.612280002409775	"S01"	0.612280002409775	"IS04"
"ALDH2"	"ALDH2"	0.0479295097475411	-0.681198085034933	-0.00271860612989522	0.611250829900158	"S01"	0.611250829900158	"IS04"
"UCHL3"	"UCHL3"	-0.118994539016627	-0.190494405144047	-0.304566427706328	0.609130592145446	"S01"	0.609130592145446	"IS04"
"PRELID1"	"PRELID1"	0.00403672411210895	-0.0965746008969014	-0.526756213833382	0.606792001723485	"S01"	0.606792001723485	"IS04"
