"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"
"PRRX1__pos"	2.22044604925031e-16	2.22044604925031e-16	51.7611410152941	2.22044604925031e-16	1.53913996556502	7.26401308403466
"LY6D__pos"	22.4447011699597	8.46335728744039	5.18239264611218	2.22044604925031e-16	38.528703846783	2.22044604925031e-16
"ECM1__pos"	0.764324174681803	59.4390802063838	0.338592854313229	2.22044604925031e-16	2.22044604925031e-16	2.69031170166969
"IGFBP5__pos"	2.22044604925031e-16	2.22044604925031e-16	5.27635893635662	2.22044604925031e-16	54.7199167448274	3.2593998586007
"ADH1C__pos"	41.0817456729638	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	8.28272910484462	2.22044604925031e-16
"MLLT11__pos"	2.42222515551208	1.27967308230595	2.22044604925031e-16	2.22044604925031e-16	6.9521871639052	45.5049361545959
"CLCA2__pos"	33.2177043361518	4.96968642717445	4.18106798464276	2.22044604925031e-16	16.7447640553586	7.73711735114941
"MOXD1__pos"	2.22044604925031e-16	2.22044604925031e-16	49.6962949389577	2.22044604925031e-16	2.22044604925031e-16	4.31603004026957
"C15orf48__pos"	6.23367981964171	60.4400416767761	0.100677173586776	0.538485429893098	2.22044604925031e-16	0.639225166773952
"GCLC__pos"	11.277931950276	0.393456463084678	1.38925294068549	7.15329239383095e-07	56.8088018992062	0.0413099509130494
"HOXB6__pos"	40.3718511044356	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	1.31427517492685	1.70782624348195
"CSAG1__pos"	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	42.9628696926424
"SFN__pos"	18.8630557091243	4.79633682437032	19.5851103452121	2.99647190591481	17.572095769416	0.42678816991831
"CLDN10__pos"	6.99055980570258	3.91779178087781	46.1913720102423	2.22044604925031e-16	2.22044604925031e-16	3.63123555300651
"TMPRSS11D__pos"	0.438305187711085	62.453491742582	1.04595920451819	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16
"UPK1B__pos"	12.1577410183228	0.0732501767302439	2.22044604925031e-16	2.22044604925031e-16	52.5117580767284	2.22044604925031e-16
"DBI__pos"	44.8067242155246	2.22044604925031e-16	6.11879765796259	1.35913600088748	4.26374005377109	5.02125343262842
"PCSK1N__pos"	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	7.94139970299287	53.4435117640435
"KRT16__pos"	15.20762247441	36.0323709599938	7.04680109191498	4.47759016543528	10.5118615941979	2.22044604925031e-16
"NPB__pos"	2.35517832457184	0.38433708984878	45.1997818398696	2.22044604925031e-16	0.906505805852387	16.6292268837344
"LCN2__pos"	1.50130843584207	62.3313096834254	9.80662851838162e-10	2.22044604925031e-16	2.7957475881285	3.50854244865078
"AKR1C2__pos"	7.30956953054393	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	62.295721616296	2.87910003054851
"PRSS21__pos"	44.7574074833982	2.22044604925031e-16	2.06430766951954	2.22044604925031e-16	2.7134048019599	17.4572722242002
"GAGE12J__pos"	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	39.067264024552
"DSC2__pos"	26.1388722927837	18.6358467986164	13.7179088891102	1.29931327942967	10.0426170708662	5.1466907503028
"CYP27A1__pos"	2.22044604925031e-16	2.22044604925031e-16	49.2099439992005	2.22044604925031e-16	0.774622966117944	2.22044604925031e-16
"IL1RN__pos"	5.94694944316007	57.9202876987644	2.09354582135269	0.964267552700075	2.2073745971418	2.22044604925031e-16
"ODC1__pos"	2.47087650766703	1.67590299472337	5.48347523237601	1.92700555734239	59.3639509402847	1.87294677890677
"GSTA1__pos"	39.246333857953	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	29.8296096082952	0.152208403412071
"MAGEA1__pos"	2.22044604925031e-16	2.00397599692865e-12	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	45.717829687822
"INPP1__pos"	17.3315268994453	5.00958245325003	39.6431386577903	2.22044604925031e-16	8.40777140360205	2.8624298938575
"IFITM3__pos"	8.92780140805734	2.68351217133572	33.2434644380434	7.71389134135324	2.93890882475934	19.5145884099604
