"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"State"	"MaxFC"	"InitialState"
"FUT3"	"FUT3"	-0.0907084163965888	1.82232104798347	-0.511263797403943	-0.311756280363714	-0.570912321549086	-0.496685575752311	"S01"	1.82232104798347	"IS02"
"NCCRP1"	"NCCRP1"	-0.416838795500716	1.82155302342374	-0.338335265708861	-0.225971739747383	-0.451334189643767	-0.413585547152205	"S01"	1.82155302342374	"IS02"
"PSCA"	"PSCA"	-0.391811966469199	1.81098421023786	-0.386170065540716	-0.322235869436472	-0.407964104085181	-0.392215026243019	"S01"	1.81098421023786	"IS02"
"PDZK1IP1"	"PDZK1IP1"	-0.387159532452188	1.80656077534688	0.044339452668593	-0.270722730874636	-0.732221186494093	-0.403520458252295	"S01"	1.80656077534688	"IS02"
"STEAP4"	"STEAP4"	-0.367772343808268	1.79496891880579	-0.390085130668011	-0.339529793562492	-0.42112076527517	-0.376442355716923	"S01"	1.79496891880579	"IS02"
"ERO1A"	"ERO1A"	-0.445850429508524	1.78170146026179	-0.641856586225542	-0.323003946412421	-0.0668077820657263	-0.492778627648156	"S01"	1.78170146026179	"IS02"
"GPRC5A"	"GPRC5A"	-0.593522545284725	1.76610378457958	-0.593107996205181	-0.405771419234111	0.119945845603853	-0.514641020941649	"S01"	1.76610378457958	"IS02"
"SPRR1A"	"SPRR1A"	-0.338683028421798	1.7596161976447	-0.613810795091481	-0.272276438457142	-0.0858187109023832	-0.649144313483737	"S01"	1.7596161976447	"IS02"
"CEACAM5"	"CEACAM5"	-0.154324469273024	1.75574941738127	-0.525143933583097	-0.40108114493053	-0.382186188225051	-0.51781311427515	"S01"	1.75574941738127	"IS02"
"TTC9"	"TTC9"	-0.323575266193405	1.75240499836436	-0.40338214466252	-0.329530222026196	-0.39105571525038	-0.42349875677502	"S01"	1.75240499836436	"IS02"
"PPL"	"PPL"	-0.334340610526402	1.74797130245577	-0.439468881251281	-0.281402932972931	-0.203093542174714	-0.647113907719072	"S01"	1.74797130245577	"IS02"
"LMO7"	"LMO7"	-0.578089605813888	1.71986590393522	-0.307055673099126	-0.378114618371169	-0.175162584718632	-0.380912826937425	"S01"	1.71986590393522	"IS02"
"SPRR2E"	"SPRR2E"	-0.402856456258756	1.71707380706347	-0.401468918881716	-0.201426212204936	-0.333754050660336	-0.42593959775678	"S01"	1.71707380706347	"IS02"
"MUC1"	"MUC1"	-0.302496374832608	1.71257610897301	-0.457325793204908	-0.271380664766984	-0.401785533393015	-0.376571277206261	"S01"	1.71257610897301	"IS02"
