"IS01"	"IS02"	"IS03"
"RPS28__pos"	2.22044604925031e-16	59.5221048336603	28.69108616258
"PPP1R15A__pos"	30.0947506448377	1.60698957190636	68.7043035828605
"CSRNP1__pos"	18.4778401161572	0.763970852505955	96.0964378401794
"SP110__pos"	26.2270288010184	81.6615505102721	12.9115345302881
"TSC22D3__pos"	37.6380814068752	35.6961634649181	26.1404624041698
"RPS14__pos"	2.22044604925031e-16	26.4228525998875	58.7927565821808
"PTPN6__pos"	46.8988933009326	69.553704858407	16.7704848034339
"TERF2IP__pos"	67.2849582971219	33.5297885475077	34.7014724615557
"RPL9__pos"	2.22044604925031e-16	21.8801314923874	60.0207233841429
"CD27__pos"	37.2987408915689	79.0016975557289	13.2830298356631
"CD82__pos"	52.0775790816255	34.0224232945735	39.1265486228092
"NR4A2__pos"	14.2201283830763	5.69072397607625	88.8623872130671
"RPL32__pos"	2.22044604925031e-16	49.1059122799088	34.6548090970399
"IER2__pos"	39.0506013101127	14.6072734166856	52.3153363459561
"RPL37__pos"	0.0902862084285261	17.4990116245835	60.185300161263
"RPS13__pos"	2.22044604925031e-16	53.2735333641194	39.0190849647992
"MS4A1__pos"	51.9458325374345	22.3906825887819	20.3755632289006
"YPEL5__pos"	18.9504362854752	1.7979542096762	83.8487286498022
"RPL29__pos"	2.22044604925031e-16	49.3834993174578	32.1357753788182
"FAM107B__pos"	52.9783567478968	16.8649691772509	56.9786109047162
"KDM6B__pos"	20.2318120697851	2.22044604925031e-16	95.2256306119059
"RPL3__pos"	2.22044604925031e-16	47.4046567261587	36.8944456470875
"MAPK1IP1L__pos"	41.4146892192682	9.37265904372397	70.9068852726763
"REL__pos"	22.7752899009732	2.22044604925031e-16	73.2397250555101
"TRAF3IP3__pos"	26.0500604769343	72.7911054413838	17.3192849296084
"LGMN__pos"	44.8867142819381	2.45682326984154	69.3316098438864
"RPL13__pos"	2.22044604925031e-16	48.0087203958215	45.5725037138107
"RPL30__pos"	2.22044604925031e-16	56.565729158071	33.7574503568255
"UBR7__pos"	62.7197087237115	6.77001205290354	19.8996129606679
"NFKBID__pos"	19.0198530114752	2.22044604925031e-16	93.7513601675507
"AIM2__pos"	35.4072026824902	74.2955349586265	7.52859816662903
"TRABD__pos"	59.2191866936989	32.8102441837746	41.1698431823406
"RPLP2__pos"	2.22044604925031e-16	19.3977786377627	57.0490185569962
"RPS7__pos"	7.19450680635141	54.0646251208387	25.8418407752325
"RSRC2__pos"	52.1851841581427	17.5690451651092	59.0213893490523
"RPL12__pos"	0.376185419332759	24.9138103531096	55.2090918485744
"RPL14__pos"	2.22044604925031e-16	50.0805326104706	28.8785586948629
"HLA-DRB1__pos"	36.04405835391	2.22044604925031e-16	46.1240534891932
"RPL10__pos"	2.22044604925031e-16	48.1471933289831	44.4938186517177
"RPS4X__pos"	0.270595423463558	52.6629521979798	32.869995992699
"ACY3__pos"	76.9888938024331	0.416849163878589	2.22044604925031e-16
"RPS12__pos"	2.22044604925031e-16	48.6550087291738	43.1959814773939
"NACA__pos"	2.22044604925031e-16	50.71215592782	29.0223245242566
"ID3__pos"	53.1083629890709	20.6516084817343	53.4836100684079
"RPL10A__pos"	1.79823849018351	17.2523900524363	54.8847291596159
"SCIMP__pos"	39.5339843314009	66.8549788955377	11.7931538333908
"LDLRAD4__pos"	37.0203890386222	0.736328824770278	83.0144281557297
"RPL34__pos"	2.22044604925031e-16	43.1511163785207	41.5408930517091
"RPL35__pos"	1.26556245706947	46.9988779201339	30.6949581205757
"KLF6__pos"	28.859378091502	12.5721489859835	53.4940070889067
"SNX9__pos"	16.8144735087687	2.22044604925031e-16	93.8863385817307
"CD79B__pos"	55.0548428041702	65.1609369829339	14.8407209988261
"TOX__pos"	66.8155313513702	26.5342723132311	11.6451127006712
"RPS17__pos"	30.8246016377359	3.49623360925107	78.0968016819131
"RPL7A__pos"	2.22044604925031e-16	51.2146539830741	34.4005426909944
"NSF__pos"	58.5056636809515	6.5335652842178	35.62554445767
"RPL35A__pos"	2.22044604925031e-16	32.4660569336657	45.5773252234623
"FAU__pos"	2.22044604925031e-16	57.5847956322126	33.6933493359308
"ARPC2__pos"	56.4580965407741	25.2588100772657	16.4652018369546
"MYC__pos"	4.70910387453364	9.43719247612292	86.2421774935998
"SIT1__pos"	30.9561041365993	60.8668091614957	6.87124582208238
"ARHGAP25__pos"	59.0728826685866	25.0093036393235	39.8437154510007
"RPS16__pos"	6.80569817139312	11.4478640385879	57.4649661119167
"ACTB__pos"	68.3831762770353	49.4372686619888	6.16256780572228e-14
"ATP2B1__pos"	41.4783899741557	23.0344813842237	60.4383056445093
"FCER2__pos"	4.22804286284554	9.08709096509646	89.6011594978709
"ANXA2R__pos"	11.8916717047518	62.8003284000665	2.80629575089506
"SH3BP5__pos"	58.9307978514198	24.9076655944332	44.7610141176434
"RPS6__pos"	3.60283619716743e-10	31.8635036404132	52.1104890225527
"RAC2__pos"	34.3714994823482	49.01909967147	12.7318191135033
"CD86__pos"	65.7037294349193	28.3248099886453	23.041711124397
"WDR74__pos"	9.84429197503589	6.09790011353692	95.4487824766245
"EEF1D__pos"	2.09435510561609	46.4172735581167	29.1743460964132
"ROCK1__pos"	49.8395568142223	26.0044271897335	52.8941176753859
"LY9__pos"	20.6173442815056	1.50342905064951	92.5207581962452
"EVL__pos"	38.3701725599862	63.5107527109444	28.8819214003236
"RABGAP1L__pos"	63.2097609977233	36.7776131734613	29.0593408919448
"EEF1B2__pos"	0.0540107461208055	30.1257429356976	46.8857075197842
"RPL26__pos"	3.37560096828955	46.650013676218	29.353114363225
"TERF2__pos"	61.5925590820893	9.87916139265153	9.37956843632645
"RPL18__pos"	2.22044604925031e-16	36.1409142160089	49.6879290079569
"DCK__pos"	40.5034429798833	65.1559350552917	11.2468461411643
"HNRNPUL1__pos"	52.7897584439427	21.1675902965329	54.0867996826376
"ZNF331__pos"	24.2494333983618	2.22044604925031e-16	91.8130061890816
"TLR10__pos"	36.6341792459535	60.8371120325588	11.0645334634602
"ELL3__pos"	67.0064730957372	18.2143545331865	2.22044604925031e-16
"PABPC1__pos"	15.0274182997827	9.34273841941554	52.8580359084838
"ARHGDIB__pos"	22.5043089021528	43.4203257240538	22.7121194433654
"WIPF1__pos"	53.1955683399941	29.3403624627322	48.4638269090462
"BIRC3__pos"	25.0791212972	10.2911521206754	81.1725544766184
"LTB__pos"	19.2547132038967	56.6156493613089	31.8878749447605
"AHSA1__pos"	51.7329140092695	17.7154127834574	51.7473436521561
"RPL8__pos"	0.337398998799288	35.1734323580079	47.1449303533649
"RPL6__pos"	1.98097992460906	43.5722689256242	35.0333843250166
"HMGA1__pos"	65.1058837888942	24.6527967815075	44.1970661292444
"RPL23A__pos"	2.22044604925031e-16	23.3618352207216	50.3572386590886
"COMMD6__pos"	8.4690042729859	50.1440875696692	32.7057714289387
"MOB3A__pos"	49.1680128056252	14.0332128068161	61.136912932068
"IL2RG__pos"	27.9361010339491	2.22044604925031e-16	87.6727036362171
"RPLP0__pos"	7.39162113428963	48.2085695176216	36.843292684086
"PTMA__pos"	56.2062117317894	8.88217851086355	39.1798346517833
"RPL38__pos"	2.67718064820976e-08	20.1471077036105	58.0517344732599
"TNFAIP8__pos"	31.8341956979207	62.026332465613	34.3631377641827
"CALM2__pos"	42.2684925052587	19.8211114158659	32.7322404893133
"RPS5__pos"	0.0948416360310891	36.333826139727	41.9839271574185
"GAPT__pos"	17.6268807329288	58.3237917143247	20.3336986820293
"LIMK1__pos"	65.5883581687433	14.7305964738562	8.35600951951776
"HNRNPA1__pos"	24.1584639285208	7.94462290965186	56.4254309000787
"HOPX__pos"	50.0443962304131	58.1649988439431	7.00372449219521
"CD164__pos"	50.8597377261433	32.834951025786	46.7693252342746
"RPL37A__pos"	8.06169188382395	16.1823495195617	51.935113695132
"SELL__pos"	6.62225572974442	63.7165483111641	48.8104829375503
"STK17B__pos"	53.4593315661469	45.0109639636513	33.9406468707182
"RPL22__pos"	2.147409131675	26.2068193045838	47.6205997138992
"NT5C__pos"	34.9324094837243	62.215854318821	30.6544995161375
"TRA2B__pos"	50.7648631427037	19.4278261769429	58.4114973310044
"HLA-DRA__pos"	27.6122775019156	0.62933550175561	61.8116163964274
"NAPSA__pos"	40.0002306681061	60.7146712418362	30.1198419487477
"SFPQ__pos"	49.9139895729673	9.18790767553713	67.5105740668775
"JUN__pos"	8.04869297495924	16.6956303889188	71.8137096315145
"PFDN5__pos"	0.0434602973577589	43.0722789220674	34.0778207480841
"TESC__pos"	66.5997302537167	31.528825381273	17.7947446267833
"RPS29__pos"	0.0319694421786792	26.7744699502698	52.4259407296459
"POLD4__pos"	49.1865499551789	53.5941266633925	25.4107763327262
"POU2F2__pos"	59.2781181781209	41.3701239555649	32.3275681526294
"PDE4B__pos"	9.05736477006554	17.2190934128824	87.8658627636117
"SYPL1__pos"	43.8699341073608	59.7277944708848	28.5809207046846
"RUNX3__pos"	47.5989967846256	19.3636476854161	53.1048591186544
