"Gene"	"IS01"	"IS02"	"IS03"	"State"	"MaxFC"	"InitialState"
"UPF2"	"UPF2"	0.379722555562518	-0.0515689197971859	-0.195849574459579	"S01"	0.379722555562518	"IS01"
"DOK1"	"DOK1"	0.379561686341706	0.0468816212888504	-0.280343840342099	"S01"	0.379561686341706	"IS01"
"ARGLU1"	"ARGLU1"	0.379443765306311	-0.178408738571801	-0.0866830651976281	"S01"	0.379443765306311	"IS01"
"HNRNPUL1"	"HNRNPUL1"	0.378378381834557	-0.306303506665388	0.0238874278716127	"S01"	0.378378381834557	"IS01"
"HHEX"	"HHEX"	0.375175917444481	0.113430023720889	-0.334753318198613	"S01"	0.375175917444481	"IS01"
"SFPQ"	"SFPQ"	0.375152005531224	-0.627208134067607	0.301673067167543	"S01"	0.375152005531224	"IS01"
"PLEKHJ1"	"PLEKHJ1"	0.373302702621347	0.263569530467571	-0.462579579272934	"S01"	0.373302702621347	"IS01"
"GDI2"	"GDI2"	0.372181134071346	-0.00211939129753611	-0.233570589661927	"S01"	0.372181134071346	"IS01"
"PXK"	"PXK"	0.368900611181274	-0.162141886065517	-0.0939925706317528	"S01"	0.368900611181274	"IS01"
"TOR3A"	"TOR3A"	0.367289845981668	-0.178205677207079	-0.0791706158984845	"S01"	0.367289845981668	"IS01"
"LSM14A"	"LSM14A"	0.366948887390849	-0.154809183413278	-0.099058974883214	"S01"	0.366948887390849	"IS01"
"SSBP2"	"SSBP2"	0.366243173367987	-0.205678995714673	-0.0549015177448224	"S01"	0.366243173367987	"IS01"
"FAM107B"	"FAM107B"	0.364667525158716	-0.319129974310371	0.0435805244752333	"S01"	0.364667525158716	"IS01"
"STK17B"	"STK17B"	0.363559765882577	0.0944548111480994	-0.311101592426839	"S01"	0.363559765882577	"IS01"
"CD79B"	"CD79B"	0.362481049349417	0.358950031127358	-0.537693260478099	"S01"	0.362481049349417	"IS01"
"LGMN"	"LGMN"	0.362332881649962	-0.432442206137858	0.142423383520146	"S01"	0.362332881649962	"IS01"
"RASGRP3"	"RASGRP3"	0.362307411758528	0.0112575445711018	-0.238820256811184	"S01"	0.362307411758528	"IS01"
"HCLS1"	"HCLS1"	0.362053241112163	-0.180054446942235	-0.0742700438304461	"S01"	0.362053241112163	"IS01"
"MCM5"	"MCM5"	0.3610039175719	-0.102419840480122	-0.140315797395408	"S01"	0.3610039175719	"IS01"
"CNTRL"	"CNTRL"	0.359708324264528	-0.111919931344848	-0.131333196327962	"S01"	0.359708324264528	"IS01"
"DOK3"	"DOK3"	0.359708145646216	0.0428866198605859	-0.264354359088867	"S01"	0.359708145646216	"IS01"
"HLA-DMB"	"HLA-DMB"	0.359414313194809	-0.256227995582465	-0.00714704774831021	"S01"	0.359414313194809	"IS01"
"DAPP1"	"DAPP1"	0.358502313503765	-0.227099621052496	-0.0315995001814863	"S01"	0.358502313503765	"IS01"
"NIN"	"NIN"	0.35727975058263	-0.248618210451607	-0.0123359025781864	"S01"	0.35727975058263	"IS01"
"DBNL"	"DBNL"	0.356517634567552	-0.0337953816197852	-0.196445605277123	"S01"	0.356517634567552	"IS01"
"PPP1R12A"	"PPP1R12A"	0.356170869154099	-0.0909094216419733	-0.147149666960241	"S01"	0.356170869154099	"IS01"
"IL12RB1"	"IL12RB1"	0.355969988454515	-0.0597922639360565	-0.173760787699785	"S01"	0.355969988454515	"IS01"
