"IS01"	"IS02"	"IS03"	"IS04"
"RPS18__pos"	50.8856330438163	16.8394674813263	2.22044604925031e-16	52.0131743574979
"HSPA5__pos"	16.3350831355989	2.22044604925031e-16	86.6196907117311	11.6701135638122
"RPL23A__pos"	80.7312153835683	18.6550010514782	13.4471897839099	10.0680201223208
"TECR__pos"	11.0879862007677	2.22044604925031e-16	42.2435039577911	58.6061899541299
"SERF2__pos"	16.9830282814743	7.83533057558237	2.86681807624566	75.4839933845988
"ANKRD37__pos"	12.9406382872825	18.3632960480303	102.265194889466	13.3760369104782
"QPRT__pos"	102.544854380135	2.22044604925031e-16	2.22044604925031e-16	10.444850925235
"TXNDC15__pos"	21.488130012717	2.22044604925031e-16	33.8806267704931	62.048593257389
"MT-CO2__pos"	3.77443654639803	23.5119564518069	1.99243020528015	59.978984826383
"PSAP__pos"	33.358157468756	2.70565056033601	86.4283985829245	6.49104988498307
"RPS11__pos"	73.7636462975382	17.0816219723428	19.1483153182964	12.8716951888605
"MZB1__pos"	22.8403657200503	2.22044604925031e-16	24.6104568393097	56.4758820821773
"RPS19__pos"	44.7874771965707	13.9996599733405	2.22044604925031e-16	58.1566300832581
"HSPA1B__pos"	7.66834920914034	29.9267261557742	98.3253900256855	10.5707798062395
"CNPY2__pos"	94.6139769698028	7.52542896946716	15.8433746306334	40.663624332664
"FKBP11__pos"	19.1687279371917	2.22044604925031e-16	18.317965545513	59.0090860836802
"RPS26__pos"	9.05157977419046	26.2147479644554	18.4293977607301	55.0513066810365
"CD59__pos"	64.5437452457918	2.22044604925031e-16	98.8682405594606	2.22044604925031e-16
"NDUFA11__pos"	94.393723858321	13.0273565357227	8.88383674404136	46.9324203132336
"FKBP2__pos"	12.4138542550271	2.22044604925031e-16	28.4709602441603	56.1380999330702
"HMGN4__pos"	2.22044604925031e-16	20.5196186179529	38.4146796209582	72.3339822255142
"PNP__pos"	20.430436050452	11.8107415515745	106.253157048764	10.6649391590834
"MZT2B__pos"	96.9784289313207	9.02245512327261	14.5539400370119	44.0612387232692
"B2M__pos"	21.3406324110216	7.077453625449	29.437930383226	56.0732994265408
"RPL22L1__pos"	8.35527851450329	10.6358032798158	24.8687238331428	74.6797204163047
"HSPD1__pos"	11.0533420842373	32.167241127218	83.4977878711453	15.2156608266056
"COMMD3__pos"	102.414841984343	4.34264214235299	10.1319820082474	28.7616480246936
"TMEM59__pos"	27.2212625800146	2.22044604925031e-16	36.6865588344051	41.6372151786623
"RPL8__pos"	6.43495758038876	18.3146467281268	23.0385544947771	58.1763092553592
"RABAC1__pos"	45.3719633507808	0.831588380288559	72.7337126043749	7.52218646982499
"EVI2B__pos"	93.9687887556234	18.3277767962131	15.9861279244214	17.8495119237675
"TXNIP__pos"	3.53417958650962	34.5050812873414	22.1895845210563	79.2017769909671
"SHCBP1__pos"	23.6595102351073	2.22044604925031e-16	2.22044604925031e-16	42.2852764926774
"ODC1__pos"	47.5862247451297	17.9324965192665	90.213290674957	3.09815802598061
"NME1__pos"	102.983657912056	2.22044604925031e-16	8.37938406832762	44.1513552387468
"PLPP5__pos"	14.6098560564463	2.22044604925031e-16	31.3757743635822	63.9315964372604
"GNG5__pos"	2.56423898678849	7.45124176032138	25.2096803514829	68.9350262024843
"RAB30__pos"	32.1506220499704	4.46103764665443	96.6173651527144	19.1853186014124
"TPD52__pos"	90.5848717981793	13.8630561203841	31.512432845331	29.657336134839
"RPLP1__pos"	8.0471758105768	7.74785001485784	9.01750931145079	82.4694155061834
"CCDC167__pos"	38.3517657228853	16.0297110800974	18.5797309288317	75.779646374138
"TXNDC5__pos"	17.3919921583571	2.22044604925031e-16	112.390665334911	4.73723766550182
"NDUFA7__pos"	109.183745982931	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16
"RPLP0__pos"	0.753826946875526	1.19038227661215	11.9018861882794	87.8140125357442
"CHCHD2__pos"	20.2214145230806	1.10602431030867	13.209050589549	66.296641522111
