"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"State"	"MaxFC"
"ATP13A3"	"ATP13A3"	0.72333793779052	-0.647995414131621	0.129066094779456	-0.38819763865606	0.289657660682649	"IS01"	0.72333793779052
"SLC25A37"	"SLC25A37"	0.716857834902371	-0.602553493205216	0.136166082529261	-0.226313834596336	0.128125575953076	"IS01"	0.716857834902371
"PNP"	"PNP"	0.715797866327568	-0.774829848117398	-0.113003241808166	-0.550889549704747	0.698622548977102	"IS01"	0.715797866327568
"CD44"	"CD44"	0.711059266720828	-0.894476786234657	0.353267831237053	-0.436421858517417	0.392829994357192	"IS01"	0.711059266720828
"NAMPT"	"NAMPT"	0.709940642806686	-0.932690224696344	0.15381992069762	0.113183081983908	0.157951352937033	"IS01"	0.709940642806686
"PFKFB3"	"PFKFB3"	0.70816307588598	-0.631380577964029	0.0177579196599797	-0.195782843096482	0.220071683865023	"IS01"	0.70816307588598
"GK"	"GK"	0.7051474118303	-0.864869830184176	0.123115140876978	-0.163551790373188	0.329477858190597	"IS01"	0.7051474118303
"JARID2"	"JARID2"	0.703836693969976	-0.3581213931298	-0.0783012384083286	-0.195686329992259	0.0498077471410901	"IS01"	0.703836693969976
"TPM4"	"TPM4"	0.701726064480175	-0.493518482217962	0.577737287956518	-0.754592908419849	0.124620976921608	"IS01"	0.701726064480175
"LCP2"	"LCP2"	0.696472487635846	-0.709667773053443	0.238175462573625	-0.362317918350453	0.265548446691207	"IS01"	0.696472487635846
"FURIN"	"FURIN"	0.696165522917409	-0.311614189309198	0.168002122314182	-0.127597980125006	-0.210674949961802	"IS01"	0.696165522917409
"MCEMP1"	"MCEMP1"	0.69159985606337	-0.407654158559031	0.399318331163683	-0.413802654227236	-0.072691182851558	"IS01"	0.69159985606337
"UPP1"	"UPP1"	0.681175034099393	-0.539110538210346	-0.0440432881351443	-0.373585222937696	0.332911035259448	"IS01"	0.681175034099393
"SAMSN1"	"SAMSN1"	0.674742304136693	-0.770494314280659	-0.160864322299576	-0.062554014030334	0.39149761706001	"IS01"	0.674742304136693
"SMIM3"	"SMIM3"	0.670929426502848	-0.428835436435155	0.0679782648658757	-0.505125226459361	0.261611557313815	"IS01"	0.670929426502848
"VCAN"	"VCAN"	0.666501719550901	-0.181357062563994	-0.165070197921526	0.501824048765283	-0.540358661322127	"IS01"	0.666501719550901
"IL1RN"	"IL1RN"	0.666058714507894	-1.00012141707102	0.273745812917043	-0.4513396399554	0.583041971455843	"IS01"	0.666058714507894
"CD55"	"CD55"	0.657633426411476	-0.485179798611904	-0.684329840837394	0.363944880715408	0.202547326942001	"IS01"	0.657633426411476
