"IS01"	"IS02"	"IS03"	"IS04"	"IS05"
"TRAF1__pos"	4.13882519107541	2.22044604925031e-16	7.03145888001154	3.12521935013332	87.875592971247
"RNF19B__pos"	54.7986144609944	2.22044604925031e-16	16.0062720313278	7.58542551271273	33.5033636954089
"FOS__pos"	6.66463677095634	25.5424063501431	13.3978714508418	40.1296390764933	2.22044604925031e-16
"FHL3__pos"	1.84517894900463	19.9720498767168	53.593987338976	16.5935352971329	2.22044604925031e-16
"PDE4DIP__pos"	20.4535133938141	2.22044604925031e-16	22.9201967320732	2.22044604925031e-16	60.5202169898844
"CXCL2__pos"	30.149079410807	2.22044604925031e-16	11.9033915708019	5.32283518929591	60.1918464858067
"FPR2__pos"	54.0131391124144	4.77359926495513	28.5877727268818	23.0988771279355	4.12258757145702
"SMAP2__pos"	9.00530480400213	15.7891857561808	3.34159921958049	74.2783747048251	3.07884590650073
"RHOB__pos"	6.05554492213141	56.0003034260657	24.1571037956234	19.5127198010206	2.22044604925031e-16
"PTGS2__pos"	37.1215725861228	2.22044604925031e-16	34.242711531886	2.65181275539977	39.4018257703098
"CXCL8__pos"	27.0278398165259	2.22044604925031e-16	11.1865530417736	6.56229700549774	58.355538438888
"APOBEC3A__pos"	55.7400060555285	9.61291491765781	3.8513011569967	14.3669839033604	26.8044775449781
"CD1D__pos"	2.22044604925031e-16	13.4831695726124	2.22044604925031e-16	62.1724325102817	2.22044604925031e-16
"C4orf3__pos"	19.9833631488346	22.7314261570504	42.8707755391046	8.21452431396052	3.75555484094363
"SERPINB9__pos"	27.8062831972073	0.971193753720827	46.7990055545477	0.0557297472027579	35.2002553691304
"ATP2B1__pos"	27.7658828946172	8.17113642694521	2.88762757519097	6.18358761195368	64.9972287220378
"SLC2A3__pos"	51.4892618396481	5.33933936519025	34.2860430252413	11.9966565715287	1.38306100073208
"POU2F2__pos"	2.22044604925031e-16	18.8293908482912	2.22044604925031e-16	66.104652371897	8.9881544254607
"CIB1__pos"	13.9252553492704	25.6068817541233	51.5382773636809	2.02145840406383	9.16951224981315
