"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"State"	"MaxFC"	"InitialState"
"ATP1B2"	"ATP1B2"	1.13984394408511	-0.171626204723417	-0.100372954017663	-0.236786860039499	-0.225661241676031	-0.293312430715558	"S01"	1.13984394408511	"IS01"
"SORT1"	"SORT1"	1.13791600518578	0.163774136704016	-0.339218061877694	-0.343804227763701	-0.244147665616581	-0.17753663716837	"S01"	1.13791600518578	"IS01"
"NR2F2"	"NR2F2"	1.13748812130699	-0.325167509780019	0.537489871811264	-0.389233233729241	-0.233357123291741	-0.521133312077158	"S01"	1.13748812130699	"IS01"
"CCDC3"	"CCDC3"	1.13152213529218	-0.120006480080208	-0.0993895991203059	-0.246416307143519	-0.206691592210875	-0.317566164159087	"S01"	1.13152213529218	"IS01"
"CSPG4"	"CSPG4"	1.12669524932224	-0.0600210507774215	-0.348233840084865	-0.34257316901974	-0.284625350676098	-0.0275269014460548	"S01"	1.12669524932224	"IS01"
"RAMP1"	"RAMP1"	1.12605210528125	0.224892625590451	-0.380051752510173	-0.301941359896651	-0.263427569985287	-0.194484885998659	"S01"	1.12605210528125	"IS01"
"CAV2"	"CAV2"	1.12141138927261	-0.472411864813316	-0.37058574288353	-0.208420078056859	-0.205847128070112	0.0158588445868371	"S01"	1.12141138927261	"IS01"
"PDE3A"	"PDE3A"	1.11953327701176	-0.22276081369422	-0.258864407092466	-0.206660197960359	-0.331627363966958	-0.0962971927080974	"S01"	1.11953327701176	"IS01"
"ACTG2"	"ACTG2"	1.10822510036965	-0.219519743027908	-0.288975438368062	-0.306407266138853	-0.281278561592063	-0.0134727204359582	"S01"	1.10822510036965	"IS01"
"CSRP2"	"CSRP2"	1.10079481793835	-0.386245429919356	0.140025234357479	-0.351953591230992	-0.457799498420964	-0.0639939870496315	"S01"	1.10079481793835	"IS01"
"COL4A1"	"COL4A1"	1.09182311302302	-0.377901598687525	-0.486565914247247	0.165999831661367	-0.640946688826919	0.0367616906342939	"S01"	1.09182311302302	"IS01"
"ADAMTS4"	"ADAMTS4"	1.0800803526827	-0.222595387364927	-0.255970524719533	-0.105391779464446	-0.370514380169047	-0.134609179591732	"S01"	1.0800803526827	"IS01"
"STOM"	"STOM"	1.06518409109769	-0.567512816063479	0.33559981385054	-0.031032415896119	0.0495073921818836	-0.730924554093631	"S01"	1.06518409109769	"IS01"
"LURAP1L"	"LURAP1L"	1.06180960494885	-0.303293074252067	-0.0558550381426541	-0.216768083681986	-0.0646166652661315	-0.334822839229419	"S01"	1.06180960494885	"IS01"
"COL18A1"	"COL18A1"	1.0559546489957	-0.549072280756654	-0.105340966688593	0.0971567238847292	-0.890224827895194	0.114013203438212	"S01"	1.0559546489957	"IS01"
"NMNAT2"	"NMNAT2"	1.05059252276929	-0.137930175277553	-0.189547358400481	-0.219569047529197	-0.221594360826053	-0.20147602504354	"S01"	1.05059252276929	"IS01"
"DLX5"	"DLX5"	1.03538542443516	-0.130722618295408	-0.178240929871216	-0.219408664881073	-0.216171374041148	-0.205904202792829	"S01"	1.03538542443516	"IS01"
"STEAP4"	"STEAP4"	1.03196219018317	-0.150449802964108	-0.179928361116779	-0.287955610902755	0.0248476724597134	-0.298443895085708	"S01"	1.03196219018317	"IS01"
"HEYL"	"HEYL"	1.02006725086315	-0.150878283024419	-0.0523782237991572	-0.247763012950753	-0.359768647533293	-0.147794071171983	"S01"	1.02006725086315	"IS01"
"OLFML2A"	"OLFML2A"	1.01580999526024	-0.262614122890225	-0.458268840277114	-0.252981952366713	-0.237162518983585	0.113445789150138	"S01"	1.01580999526024	"IS01"
"CAV1"	"CAV1"	1.00265715925984	-0.612105706767394	-0.271234878843015	-0.143194069641185	-0.101572390649398	-0.0323491036742913	"S01"	1.00265715925984	"IS01"
"GPR20"	"GPR20"	1.00227384193666	-0.120082784917899	-0.181165790133601	-0.205945666847943	-0.191647269465206	-0.21449263933523	"S01"	1.00227384193666	"IS01"
"ITGA1"	"ITGA1"	0.999486900543884	-0.445984994490679	-0.283752295247346	-0.0711864056731006	-0.58061592408461	0.166388285007391	"S01"	0.999486900543884	"IS01"
"EDNRA"	"EDNRA"	0.999027354909188	-0.43411355396946	0.336056456648536	-0.230880675123377	-0.507580551148763	-0.180018944218493	"S01"	0.999027354909188	"IS01"
"RASL12"	"RASL12"	0.987428770173637	-0.342141835741065	0.00359740753378458	-0.225974393784158	-0.0556245110812854	-0.302202747225555	"S01"	0.987428770173637	"IS01"
"UACA"	"UACA"	0.981312063399342	-0.183289031369851	-0.23619954854397	-0.260265722624652	-0.335242276566438	0.0188695919895743	"S01"	0.981312063399342	"IS01"
"NRIP2"	"NRIP2"	0.974448234412117	-0.144867639595888	-0.144182875568709	-0.200830038372994	-0.17614127536588	-0.223843873770188	"S01"	0.974448234412117	"IS01"
"DMD"	"DMD"	0.970756604695587	0.0213583069515851	-0.189501346929412	-0.251438501817197	-0.12410814907783	-0.260509905897759	"S01"	0.970756604695587	"IS01"
"PI15"	"PI15"	0.96262570860186	-0.12850182186922	-0.249076070837288	-0.0295483885085535	-0.22670292471348	-0.269468092635677	"S01"	0.96262570860186	"IS01"
"ARHGEF17"	"ARHGEF17"	0.957954932642289	-0.319363528920787	-0.230650589043616	-0.161413077621281	-0.372732327765155	0.0344533800271298	"S01"	0.957954932642289	"IS01"
